label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR
messages_sms_send,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Send SMS,Enviar SMS,Send SMS
messages_first_name,First name,First name,First name,First name,First name,First name,First name,First name,First name,First name,First name,Primeiro nome,First name
messages_last_name,Last name,Last name,Last name,Last name,Last name,Last name,Last name,Last name,Last name,Last name,Last name,Último nome,Last name
messages_phone,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,Número de telefone,Phone number
messages_phone_placeholder,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Mobile Number(s) here...,Numero (s)  do Celulares aqui ...,Mobile Number(s) here...
messages_phone_number_required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Phone number required,Celular é obrigatóriodesejado,Phone number required
messages_message,Message,Message,Message,Message,Message,Message,Message,Message,Message,Message,Message,Mensagem,Message
messages_message_placeholder,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Your Message here...,Sua mensagem aqui ...,Your Message here...
messages_message_required,Message required,Message required,Message required,Message required,Message required,Message required,Message required,Message required,Message required,Message required,Message required,mensagem é requerida,Message required
messages_multiple_phones,"(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(In case of multiple recipients, enter mobile numbers separated by commas)","(No caso de vários destinatários, digite os números celulares separadas por vírgula)","(In case of multiple recipients, enter mobile numbers separated by commas)"
messages_successfully_sent,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Message successfully sent to: ,Mensagem enviada com sucesso para:,Message successfully sent to: 
messages_unsuccessfully_sent,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Message unsuccessfully sent to: ,Mensagem sem sucesso no envio para: ,Message unsuccessfully sent to: 
